start time,request type,latency,response code
8,POST,2372,201
36,POST,2344,201
31,POST,2349,201
32,POST,2348,201
29,POST,2351,201
38,POST,2342,201
14,POST,2366,201
39,POST,2341,201
34,POST,2346,201
77,POST,2303,201
74,POST,2306,201
60,POST,2320,201
72,POST,2308,201
35,POST,2345,201
76,POST,2304,201
8,POST,2372,201
75,POST,2305,201
36,POST,2344,201
9,POST,2371,201
32,POST,2348,201
72,POST,2308,201
9,POST,2371,201
31,POST,2349,201
70,POST,2310,201
13,POST,2367,201
60,POST,2320,201
38,POST,2342,201
78,POST,2302,201
36,POST,2344,201
8,POST,2372,201
8,POST,2372,201
10,POST,2370,201
31,POST,2349,201
29,POST,2351,201
35,POST,2345,201
9,POST,2372,201
61,POST,2320,201
7,POST,2374,201
9,POST,2372,201
75,POST,2306,201
9,POST,2372,201
13,POST,2368,201
41,POST,2340,201
74,POST,2307,201
30,POST,2351,201
12,POST,2369,201
13,POST,2368,201
38,POST,2343,201
8,POST,2373,201
12,POST,2369,201
38,POST,2343,201
40,POST,2341,201
38,POST,2343,201
71,POST,2310,201
10,POST,2371,201
9,POST,2372,201
30,POST,2351,201
8,POST,2373,201
38,POST,2343,201
37,POST,2344,201
35,POST,2346,201
36,POST,2345,201
12,POST,2369,201
60,POST,2321,201
60,POST,2321,201
35,POST,2346,201
89,POST,2292,201
9,POST,2372,201
34,POST,2347,201
7,POST,2374,201
9,POST,2372,201
41,POST,2340,201
70,POST,2311,201
76,POST,2305,201
70,POST,2311,201
28,POST,2353,201
13,POST,2368,201
10,POST,2371,201
60,POST,2322,201
9,POST,2373,201
8,POST,2374,201
92,POST,2290,201
11,POST,2371,201
77,POST,2305,201
12,POST,2370,201
33,POST,2349,201
36,POST,2346,201
10,POST,2372,201
35,POST,2347,201
61,POST,2321,201
60,POST,2322,201
70,POST,2312,201
38,POST,2344,201
31,POST,2351,201
75,POST,2307,201
14,POST,2368,201
59,POST,2323,201
41,POST,2341,201
34,POST,2348,201
8,POST,2374,201
8,POST,2374,201
9,POST,2373,201
72,POST,2310,201
11,POST,2371,201
77,POST,2305,201
81,POST,2301,201
70,POST,2312,201
37,POST,2345,201
70,POST,2312,201
37,POST,2345,201
59,POST,2323,201
8,POST,2374,201
78,POST,2304,201
32,POST,2350,201
37,POST,2345,201
9,POST,2373,201
26,POST,2356,201
12,POST,2370,201
8,POST,2374,201
12,POST,2370,201
8,POST,2374,201
81,POST,2301,201
8,POST,2374,201
31,POST,2351,201
12,POST,2371,201
61,POST,2321,201
30,POST,2352,201
8,POST,2373,201
2400,POST,1184,201
2394,POST,1190,201
2391,POST,1208,201
2400,POST,1200,201
2380,POST,1221,201
2391,POST,1212,201
2396,POST,1208,201
2381,POST,1225,201
